Date,Team 1,FT,Team 2
2016-04-02,Aston Villa,0-4,Chelsea
2016-04-02,Leicester,1-0,Southampton
2016-04-02,Liverpool,1-1,Tottenham
2016-04-02,Man United,1-0,Everton
2016-04-02,Norwich,3-2,Newcastle
2016-04-02,Stoke,2-2,Swansea
2016-04-02,Sunderland,0-0,West Brom
2016-04-02,West Ham,2-2,Crystal Palace
2016-04-09,Aston Villa,1-2,Bournemouth
2016-04-09,Crystal Palace,1-0,Norwich
2016-04-09,Liverpool,4-1,Stoke
2016-04-09,Man City,2-1,West Brom
2016-04-09,Southampton,3-1,Newcastle
2016-04-09,Sunderland,0-2,Leicester
2016-04-09,Swansea,1-0,Chelsea
2016-04-09,Tottenham,3-0,Man United
2016-04-09,Watford,1-1,Everton
2016-04-09,West Ham,3-3,Arsenal
2016-04-16,Bournemouth,1-2,Liverpool
2016-04-16,Arsenal,1-1,Crystal Palace
2016-04-16,Chelsea,0-3,Man City
2016-04-16,Everton,1-1,Southampton
2016-04-16,Leicester,2-2,West Ham
2016-04-16,Man United,1-0,Aston Villa
2016-04-16,Newcastle,3-0,Swansea
2016-04-16,Norwich,0-3,Sunderland
2016-04-16,Stoke,0-4,Tottenham
2016-04-16,West Brom,0-1,Watford
2016-04-23,Bournemouth,1-4,Chelsea
2016-04-23,Aston Villa,2-4,Southampton
2016-04-23,Crystal Palace,0-0,Everton
2016-04-23,Leicester,4-0,Swansea
2016-04-23,Liverpool,2-2,Newcastle
2016-04-23,Man City,4-0,Stoke
2016-04-23,Norwich,4-2,Watford
2016-04-23,Sunderland,0-0,Arsenal
2016-04-23,Tottenham,1-1,West Brom
2016-04-23,West Ham,3-2,Man United
2016-04-30,Arsenal,1-0,Norwich
2016-04-30,Chelsea,2-2,Tottenham
2016-04-30,Everton,2-1,Bournemouth
2016-04-30,Man United,1-1,Leicester
2016-04-30,Newcastle,1-0,Crystal Palace
2016-04-30,Southampton,4-2,Man City
2016-04-30,Stoke,1-1,Sunderland
2016-04-30,Swansea,3-1,Liverpool
2016-04-30,Watford,3-2,Aston Villa
2016-04-30,West Brom,0-3,West Ham
2016-05-07,Bournemouth,1-1,West Brom
2016-05-07,Aston Villa,0-0,Newcastle
2016-05-07,Crystal Palace,2-1,Stoke
2016-05-07,Leicester,3-1,Everton
2016-05-07,Liverpool,2-0,Watford
2016-05-07,Man City,2-2,Arsenal
2016-05-07,Norwich,0-1,Man United
2016-05-07,Sunderland,3-2,Chelsea
2016-05-07,Tottenham,1-2,Southampton
2016-05-07,West Ham,1-4,Swansea
2016-05-15,Arsenal,4-0,Aston Villa
2016-05-15,Chelsea,1-1,Leicester
2016-05-15,Everton,3-0,Norwich
2016-05-15,Man United,3-1,Bournemouth
2016-05-15,Newcastle,5-1,Tottenham
2016-05-15,Southampton,4-1,Crystal Palace
2016-05-15,Stoke,2-1,West Ham
2016-05-15,Swansea,1-1,Man City
2016-05-15,Watford,2-2,Sunderland
2016-05-15,West Brom,1-1,Liverpool
