Date,Team 1,FT,Team 2
2016-02-03,Liverpool,3-0,Man City
2016-02-03,Man United,1-0,Watford
2016-02-03,Stoke,1-0,Newcastle
2016-02-03,West Ham,1-0,Tottenham
2016-05-03,Chelsea,1-1,Stoke
2016-05-03,Everton,2-3,West Ham
2016-05-03,Man City,4-0,Aston Villa
2016-05-03,Newcastle,1-3,Bournemouth
2016-05-03,Southampton,1-1,Sunderland
2016-05-03,Swansea,1-0,Norwich
2016-05-03,Tottenham,2-2,Arsenal
2016-05-03,Watford,0-1,Leicester
2016-06-03,Crystal Palace,1-2,Liverpool
2016-06-03,West Brom,1-0,Man United
2016-12-03,Bournemouth,3-2,Swansea
2016-12-03,Arsenal,2-0,West Brom
2016-12-03,Aston Villa,0-2,Tottenham
2016-12-03,Man United,2-0,Crystal Palace
2016-12-03,Norwich,0-0,Man City
2016-12-03,Stoke,1-2,Southampton
2016-12-03,Sunderland,3-0,Everton
2016-12-03,West Ham,3-1,Watford
2016-13-03,Liverpool,1-1,Chelsea
2016-14-03,Leicester,1-0,Newcastle
2016-19-03,Chelsea,2-2,West Ham
2016-19-03,Crystal Palace,0-1,Leicester
2016-19-03,Everton,0-2,Arsenal
2016-19-03,Southampton,3-2,Liverpool
2016-19-03,Swansea,1-0,Aston Villa
2016-19-03,Tottenham,3-0,Bournemouth
2016-19-03,Watford,1-2,Stoke
2016-19-03,West Brom,0-1,Norwich
2016-20-03,Man City,0-1,Man United
2016-20-03,Newcastle,1-1,Sunderland
2016-02-04,Bournemouth,0-4,Man City
2016-02-04,Arsenal,4-0,Watford
2016-02-04,Aston Villa,0-4,Chelsea
2016-02-04,Leicester,1-0,Southampton
2016-02-04,Liverpool,1-1,Tottenham
2016-02-04,Man United,1-0,Everton
2016-02-04,Norwich,3-2,Newcastle
2016-02-04,Stoke,2-2,Swansea
2016-02-04,Sunderland,0-0,West Brom
2016-02-04,West Ham,2-2,Crystal Palace
2016-09-04,Aston Villa,1-2,Bournemouth
2016-09-04,Crystal Palace,1-0,Norwich
2016-09-04,Liverpool,4-1,Stoke
2016-09-04,Man City,2-1,West Brom
2016-09-04,Southampton,3-1,Newcastle
2016-09-04,Sunderland,0-2,Leicester
2016-09-04,Swansea,1-0,Chelsea
2016-09-04,Tottenham,3-0,Man United
2016-09-04,Watford,1-1,Everton
2016-09-04,West Ham,3-3,Arsenal
2016-16-04,Bournemouth,1-2,Liverpool
2016-16-04,Arsenal,1-1,Crystal Palace
2016-16-04,Chelsea,0-3,Man City
2016-16-04,Everton,1-1,Southampton
2016-16-04,Leicester,2-2,West Ham
2016-16-04,Man United,1-0,Aston Villa
2016-16-04,Newcastle,3-0,Swansea
2016-16-04,Norwich,0-3,Sunderland
2016-16-04,Stoke,0-4,Tottenham
2016-16-04,West Brom,0-1,Watford
2016-23-04,Bournemouth,1-4,Chelsea
2016-23-04,Aston Villa,2-4,Southampton
2016-23-04,Crystal Palace,0-0,Everton
2016-23-04,Leicester,4-0,Swansea
2016-23-04,Liverpool,2-2,Newcastle
2016-23-04,Man City,4-0,Stoke
2016-23-04,Norwich,4-2,Watford
2016-23-04,Sunderland,0-0,Arsenal
2016-23-04,Tottenham,1-1,West Brom
2016-23-04,West Ham,3-2,Man United
2016-30-04,Arsenal,1-0,Norwich
2016-30-04,Chelsea,2-2,Tottenham
2016-30-04,Everton,2-1,Bournemouth
2016-30-04,Man United,1-1,Leicester
2016-30-04,Newcastle,1-0,Crystal Palace
2016-30-04,Southampton,4-2,Man City
2016-30-04,Stoke,1-1,Sunderland
2016-30-04,Swansea,3-1,Liverpool
2016-30-04,Watford,3-2,Aston Villa
2016-30-04,West Brom,0-3,West Ham
2016-07-05,Bournemouth,1-1,West Brom
2016-07-05,Aston Villa,0-0,Newcastle
2016-07-05,Crystal Palace,2-1,Stoke
2016-07-05,Leicester,3-1,Everton
2016-07-05,Liverpool,2-0,Watford
2016-07-05,Man City,2-2,Arsenal
2016-07-05,Norwich,0-1,Man United
2016-07-05,Sunderland,3-2,Chelsea
2016-07-05,Tottenham,1-2,Southampton
2016-07-05,West Ham,1-4,Swansea
2016-15-05,Arsenal,4-0,Aston Villa
2016-15-05,Chelsea,1-1,Leicester
2016-15-05,Everton,3-0,Norwich
2016-15-05,Man United,3-1,Bournemouth
2016-15-05,Newcastle,5-1,Tottenham
2016-15-05,Southampton,4-1,Crystal Palace
2016-15-05,Stoke,2-1,West Ham
2016-15-05,Swansea,1-1,Man City
2016-15-05,Watford,2-2,Sunderland
2016-15-05,West Brom,1-1,Liverpool
